origem;destino;dist_km;tempo;abast.;abast.lt.;consm.lbs;decea;tx.aerop.;comissaria;fbo;hospedagem;Transporte;slot;outros;comissoes;variável trip.;receita;com.terceiros
SBBH;SBMK;396,328;0,6;5283,54;900;920;759,8;600,57;299,5;425;;;;;190,6446701;237,7968;12709,64467;
SBMK;SBBH;418,552;0,7;;;1010;403,55;763,34;;;;;;;1820,713758;251,1312;11936,47276;1666,666667
SBBH;SBFZ;1866,816;2,5;11365,48;1936;2910;759,8;573,39;955;960;;;;;775,0601607;1120,0896;51670,67738;
SBFZ;SBRJ;2315;3,1;11365,76;1650;3640;759,8;725,89;;700;;;;;961,136112;1619,262032;64075,7408;
SBRJ;SBBH;433,368;0,7;6484,16;1024;1090;759,8;763,34;;;;;;;179,9246802;520,0416;11994,97868;
SBBH;SBUL;540,784;0,8;5870,6;1000;1210;759,8;600,57;239,6;860;;;;;287,8628885;648,9408;19190,85923;
SBUL;SBBH;472,26;0,7;;;1110;759,8;763,34;;;;;;;251,3871115;566,712;16759,14077;
SBBH;SBCJ;1744,584;2,3;12263,68;2089;2980;759,8;655,81;279,6;;650,96;270;;;510,8677159;2093,5008;34057,84772;
SBCJ;SBSP;2070,536;2,9;16949,1;1677;3350;;730,68;206,76;4563,95;4200;;;;606,3164611;1834,923283;40421,09741;
SBSP;SBBH;538,932;0,8;7124,68;810;1110;900,15;763,34;;;;;;;157,8158231;323,3592;10521,05487;
SBBH;SBBQ;179,644;0,4;3827,63;652;650;759,8;;680;;783;80;;;173,7313433;107,7864;11582,08955;
SBBQ;SBBH;192,608;0,4;;;590;403,55;763,34;;;;;;;186,2686567;115,5648;12417,91045;
SBBH;SBGR;568,564;0,9;7931,18;1351;1270;759,8;515,35;;1700;;;;;274,6842105;682,2768;18312,2807;
SBGR;SBBH;487,076;0,7;;;1040;900,15;763,34;;;;;;;235,3157895;584,4912;15687,7193;
